IDimpacto_humano;Deaths;Injured;Missing
133401;10;0;0
133501;0;0;0
133601;0;0;0
133701;0;0;0
133801;0;0;0
133901;0;0;0
134001;0;0;0
134101;0;0;0
134201;10;0;0
134301;0;0;0
134401;0;0;0
134501;0;0;0
134601;0;0;0
134701;0;0;0
134801;0;0;0
134901;0;0;0
135001;0;0;0
135101;10;0;0
135201;0;0;0
135301;20;10;0
135401;0;0;0
135501;0;0;0
135601;0;0;0
135701;0;0;0
135801;0;0;0
135901;0;0;0
136001;0;0;0
136101;0;0;0
136201;0;0;0
136301;90;0;10
136401;0;0;0
136501;0;0;0
136601;0;0;0
136701;0;0;0
136801;0;0;0
136901;0;0;0
137001;0;0;0
137101;0;0;0
137201;0;0;0
137301;0;0;0
137401;0;0;0
137501;0;0;0
137601;0;0;0
137701;0;0;0
137801;0;0;0
137901;0;0;0
138001;0;0;0
138101;0;0;0
138201;0;0;20
138301;20;0;0
138401;0;0;0
138501;10;0;0
138601;0;0;0
138701;0;0;0
138801;0;0;0
138901;0;0;0
139001;0;0;0
139101;0;0;0
139201;0;0;0
139301;0;0;0
139401;0;50;0
139501;0;0;0
139601;0;0;0
139701;0;0;0
139801;0;0;0
139901;0;0;0
140001;0;0;0
140101;0;0;0
140201;0;0;0
140301;0;0;0
140401;0;0;0
140501;0;0;0
140601;0;0;0
140701;10;0;0
140801;0;0;0
140901;0;0;0
141001;0;0;0
141101;0;0;0
141201;0;0;0
141301;20;50;0
141401;0;0;0
141501;0;0;0
141601;0;0;0
141701;0;0;0
141801;0;0;0
141901;0;0;0
142001;10;10;0
142101;10;80;0
142201;0;0;0
142301;0;0;0
142401;30;630;0
142501;20;50;0
142601;0;0;0
142701;0;0;0
142801;0;0;0
142901;0;0;0
143001;0;0;0
143101;0;0;0
143201;0;0;0
143301;0;0;0
143401;0;0;0
143501;0;0;0
143601;0;340;0
143701;0;0;0
143801;0;0;0
143901;0;0;0
144001;0;0;0
144101;0;0;0
144201;10;0;0
144301;10;0;0
144401;0;0;0
144501;140;0;0
144601;0;10;0
144701;20;20;0
144801;0;0;0
144901;0;0;0
145001;0;0;0
145101;0;0;0
145201;0;0;0
145301;10;0;0
145401;0;0;0
145501;0;0;0
145601;0;0;0
145701;0;0;0
145801;0;0;10
145901;0;0;0
146001;0;0;0
146101;0;0;0
146201;80;0;0
146301;0;0;0
146401;0;0;0
146501;0;0;0
146601;10;0;0
146701;0;0;0
146801;0;10;0
146901;0;0;0
147001;0;0;0
147101;0;0;0
147201;0;0;0
147301;0;0;0
147401;0;0;0
147501;0;0;0
147601;0;0;10
147701;0;0;0
147801;0;0;0
147901;0;0;0
148001;0;0;0
148101;0;0;10
148201;0;0;0
148301;30;0;0
148401;0;0;20
148501;0;0;0
148601;0;0;0
148701;0;0;0
148801;0;0;0
148901;0;0;0
149001;0;0;0
149101;0;0;0
149201;0;0;0
149301;0;0;0
149401;0;0;0
149501;0;0;0
149601;0;0;0
149701;0;0;0
149801;0;0;0
149901;0;0;0
150001;0;0;0
150101;0;10;0
150201;0;0;0
150301;0;20;0
150401;0;0;0
150501;90;30;0
150601;30;0;0
150701;0;0;0
150801;0;0;0
150901;0;0;0
151001;10;10;0
151101;0;0;0
151201;0;0;0
151301;0;0;0
151401;0;0;0
151501;0;10;0
151601;0;0;0
151701;0;0;0
151801;0;0;0
151901;0;0;0
152001;0;0;0
152101;0;0;0
152201;0;0;0
152301;0;0;0
152401;20;0;0
152501;0;0;0
152601;0;0;0
152701;0;0;0
152801;0;50;0
152901;50;0;0
153001;0;0;0
153101;0;0;0
153201;0;0;0
153301;0;20;0
153401;0;0;0
153501;0;0;0
153601;0;0;0
153701;0;0;0
153801;0;0;0
153901;0;0;0
154001;0;40;0
154101;0;0;0
154201;0;0;0
154301;0;90;0
154401;0;0;0
154501;0;0;0
154601;10;0;0
