IDimpacto_material;Houses Destroyed;Houses Damaged
148002;0;950
148102;0;0
148202;50;90
148302;10;0
148402;0;0
148502;0;350
148602;10;0
148702;0;180
148802;0;250
148902;0;280
149002;0;300
149102;0;250
149202;0;250
149302;0;250
149402;0;60
149502;0;400
149602;0;1600
149702;0;300
149802;0;450
149902;0;30
150002;0;250
150102;10;0
150202;0;70
150302;20;50
150402;50;400
150502;0;0
150602;0;0
150702;0;2370
150802;0;0
150902;0;150
151002;0;0
151102;0;0
151202;0;0
151302;10;0
151402;0;130
151502;0;250
151602;0;300
151702;0;60
151802;0;250
151902;0;20
152002;0;3000
152102;0;3150
152202;0;5380
152302;0;100
152402;10;0
152502;0;0
152602;0;200
152702;30;1000
152802;50;60
152902;10;0
153002;0;0
153102;0;830
153202;0;1500
153302;40;0
153402;0;500
153502;0;50
153602;0;500
153702;0;100
153802;0;1000
153902;0;100
154002;0;0
154102;0;320
154202;0;160
154302;0;1500
154402;0;150
154502;0;500
154602;210;0
154702;0;150
154802;0;2500
154902;20;0
155002;0;250
155102;0;1170
155202;0;550
155302;0;0
155402;40;0
155502;0;1050
155602;0;1100
155702;70;240
155802;0;1000
155902;0;5220
156002;0;1000
156102;0;150
156202;0;800
156302;0;0
156402;0;80
156502;30;500
156602;0;0
156702;20;80
156802;170;330
156902;600;8760
157002;10;0
157102;0;80
157202;0;0
157302;0;200
157402;0;0
157502;0;0
157602;0;150
157702;10;0
157802;0;20
157902;0;900
158002;0;200
158102;0;100
158202;0;0
158302;40;0
158402;0;0
158502;0;100
158602;0;100
158702;30;0
158802;0;0
158902;0;10
159002;0;0
159102;0;0
159202;0;300
159302;0;40
159402;0;10500
159502;0;0
159602;0;0
159702;0;0
159802;50;0
159902;0;0
160002;0;0
160102;0;0
160202;0;0
160302;0;0
160402;0;0
160502;0;0
160602;0;0
160702;0;0
160802;0;0
160902;0;0
161002;0;0
161102;0;0
161202;0;0
161302;0;0
161402;0;0
161502;0;0
161602;0;0
161702;10;80
161802;10;110
161902;0;500
162002;0;400
162102;0;0
162202;0;3000
162302;0;2000
162402;0;5000
162502;0;1620
162602;0;3870
162702;10;0
162802;0;400
162902;20;50
163002;10;0
163102;0;500
163202;0;3120
163302;0;0
163402;0;0
163502;0;0
163602;60;0
163702;0;200
163802;0;300
163902;0;0
164002;0;110
164102;20;3870
164202;0;200
164302;0;0
164402;0;40
164502;0;400
164602;0;0
164702;10;50
164802;70;230
164902;0;660
165002;0;170
165102;0;1800
165202;0;300
165302;0;0
165402;0;500
165502;0;40
165602;0;0
165702;70;10
165802;90;1500
165902;0;20
166002;250;0
166102;0;150
166202;0;2500
166302;0;2000
166402;0;90
166502;0;10
166602;0;400
166702;0;300
166802;10;0
166902;60;480
167002;10;60
167102;0;260
167202;0;100
167302;0;470
167402;0;640
167502;10;0
167602;90;160
167702;0;0
167802;0;500
167902;40;0
168002;10;20
168102;70;470
168202;0;150
168302;0;0
168402;0;0
168502;0;0
168602;0;160
168702;0;200
168802;0;1520
168902;60;0
169002;30;60
169102;0;40
169202;0;4000
169302;0;1000
169402;0;2000
169502;0;780
169602;10;360
169702;0;500
169802;0;10
169902;0;20
170002;200;0
170102;0;100
170202;0;400
170302;0;50
170402;0;150
170502;0;5300
170602;0;1000
170702;0;0
170802;0;0
170902;0;0
171002;0;2000
171102;0;800
171202;0;1200
171302;0;2500
171402;0;2500
171502;0;2800
171602;0;100
171702;0;100
171802;0;2000
171902;0;2100
172002;500;0
172102;0;0
172202;0;0
172302;20;120
172402;0;20
172502;0;20
172602;0;20
172702;0;400
172802;0;900
172902;0;4200
173002;10;90
173102;0;4680
173202;0;0
173302;0;800
173402;210;1830
173502;20;0
173602;0;0
173702;0;260
173802;10;0
173902;30;0
174002;0;0
174102;30;0
174202;0;150
174302;10;60
174402;40;80
174502;10;0
174602;30;370
174702;0;350
174802;0;0
