id_Historico_Desastre;Event;Municipio;Fecha;Causa;Descripción de la causa;Fuente;IDimpacto_material;Muertos;Heridos;Desaparecidos;IDimpacto_humano;Casas destruidas;Casas dañadas;Pérdidas económicas;With Deaths;With Injured;With Missing;With Houses Destroyed;With Victims;Tipo_desastre;idDetalleDesastre
502130;FIRE;Medellín;2/10/1978;SHORTCIRCUIT;Corto circuito;EL TIEMPO 1978-10-03 Pag UA;213102;0;0;0;213101;0;0;30000000;0;0;0;0;0;Técnico;5021303
502131;FIRE;Medellín;14/09/1978;HUMANERROR;peatón lanzo una cerilla sobre sesenta bultos de panela ;EL TIEMPO 1978-09-15 Pag 3A;213202;0;0;0;213201;0;0;0;0;10;0;0;0;Técnico;5021313
502132;LANDSLIDE;Dabeiba;12/08/1978;RAIN;Deslizamiento por lluvias sobre Río Urama;BDOD-BDOSSO-EL TIEMPO 1978-08-13 P.6A;213302;90;0;10;213301;10;0;0;10;0;10;10;0;Geofísico;5021323
502133;STRONGWIND;Caucasia;6/08/1978;ATMOSPHCONDITION;;BDOSSO;213402;0;0;0;213401;0;0;0;0;0;0;0;0;Atmosférico;5021333
502134;LANDSLIDE;Remedios;1/08/1978;NEGLIGENCE;actividad minera sin control;EL TIEMPO 1978-08-02 Pag 2A;213502;0;0;0;213501;0;0;0;0;0;0;0;0;Geofísico;5021343
502135;STRONGWIND;Cáceres;11/07/1978;ATMOSPHCONDITION;;EL TIEMPO 1978-07-12 Pag 8B;213602;0;0;0;213601;0;0;0;0;0;0;10;10;Atmosférico;5021353
502136;FIRE;Medellín;9/07/1978;UNKNOWN;;EL TIEMPO 1978-07-10 Pag 7 A;213702;0;0;0;213701;0;0;0;0;0;0;0;0;Técnico;5021363
502137;STRONGWIND;Puerto Berrio;1/07/1978;ATMOSPHCONDITION;;BDOSSO;213802;0;0;0;213801;2000;0;0;0;0;0;10;0;Atmosférico;5021373
502138;FLOOD;Chigorodó;7/06/1978;OVERFLOW;Rìo Chigorodò desbordado por lluvias.;EL TIEMPO 1978-06-09 P.9A;213902;0;0;0;213901;0;0;0;0;0;0;0;0;Hidrológico;5021383
502139;LANDSLIDE;Urrao;10/05/1978;RAIN;;EL TIEMPO 1978-05-11 P.15A;214002;0;0;0;214001;0;0;0;0;0;0;0;0;Geofísico;5021393
502140;LANDSLIDE;La Unión;4/05/1978;UNKNOWN;;BDOSSO;214102;30;0;0;214101;0;0;0;10;0;0;0;0;Geofísico;5021403
502141;LANDSLIDE;Salgar;2/05/1978;RAIN;;EL TIEMPO 1978-05-04 P.8A;214202;0;0;0;214201;0;0;0;0;0;0;0;0;Geofísico;5021413
502142;LANDSLIDE;Jardín;2/05/1978;RAIN;;EL TIEMPO 1978-05-04 P.8A;214302;0;0;0;214301;0;0;0;0;0;0;0;0;Geofísico;5021423
502143;LANDSLIDE;Andes;2/05/1978;RAIN;;EL TIEMPO 1978-05-04 P.8A;214402;0;0;0;214401;0;0;0;0;0;0;0;0;Geofísico;5021433
502144;LANDSLIDE;Frontino;2/05/1978;RAIN;;EL TIEMPO 1978-05-04 P.8A;214502;0;0;0;214501;0;0;0;0;0;0;0;0;Geofísico;5021443
502145;FLOOD;Puerto Berrio;27/04/1978;RAIN;;EL TIEMPO 1978-04-29 P.8A;214602;0;0;0;214601;0;0;0;0;0;0;0;0;Hidrológico;5021453
502146;FLOOD;Chigorodó;27/04/1978;RAIN;;EL TIEMPO 1978-04-29 P.8A;214702;0;0;0;214701;0;0;10000000;0;0;0;0;0;Hidrológico;5021463
502147;LANDSLIDE;Ciudad Bolívar;27/04/1978;RAIN;;EL TIEMPO 1978-05-04 P.8A;214802;0;0;0;214801;0;0;0;0;0;0;10;10;Geofísico;5021473
502148;RAIN;Angelópolis;20/04/1978;ATMOSPHCONDITION;;EL TIEMPO 1978-04-21 P.11A;214902;0;0;0;214901;0;0;0;0;0;0;0;0;Atmosférico;5021483
502149;FLOOD;Medellín;19/04/1978;RAIN;;EL TIEMPO 1978-04-20 P.1A-6C;215002;10;0;0;215001;0;0;0;10;0;0;0;0;Hidrológico;5021493
