IDimpacto_material;Houses Destroyed;Houses Damaged;Losses $Local
102702;0;500;0
102802;0;0;0
102902;0;500;0
103002;0;200;0
103102;0;2000;0
103202;0;6200;0
103302;0;250;0
103402;0;0;0
103502;0;3000;0
103602;0;0;0
103702;0;0;0
103802;0;7550;0
103902;0;10000;0
104002;0;300;0
104102;0;1600;0
104202;0;500;0
104302;0;10;0
104402;0;500;0
104502;0;150;0
104602;0;500;0
104702;0;0;0
104802;0;300;0
104902;0;0;0
105002;0;0;0
105102;0;0;0
105202;0;3200;0
105302;60;280;0
105402;0;0;0
105502;50;1500;0
105602;0;0;0
105702;0;0;500000000
105802;0;0;0
105902;0;0;0
106002;0;0;0
106102;0;0;0
106202;0;900;0
106302;70;600;0
106402;0;400;0
106502;0;3000;0
106602;0;0;0
106702;0;150;0
106802;0;300;0
106902;0;140;0
107002;20;0;0
107102;0;7000;0
107202;0;0;0
107302;0;1200;0
107402;0;1410;0
107502;0;0;0
107602;0;0;0
107702;0;80;0
107802;0;170;0
107902;0;1560;0
108002;0;0;0
108102;0;200;0
108202;0;100;0
108302;10;50;0
108402;0;0;0
108502;30;0;0
108602;0;0;0
108702;0;70;0
108802;0;0;0
108902;0;100;0
109002;10;10;0
109102;0;0;0
109202;0;0;0
109302;0;250;0
109402;0;10;0
109502;10;0;0
109602;0;2870;0
109702;0;0;0
109802;0;0;0
109902;0;0;0
110002;10;30;0
110102;0;0;0
110202;0;10;0
110302;0;430;0
110402;0;0;0
110502;0;0;0
110602;0;0;0
110702;0;5000;0
110802;0;0;0
110902;0;0;0
111002;0;0;0
111102;0;0;0
111202;0;0;0
111302;0;0;0
111402;0;0;0
111502;0;10;0
111602;0;150;0
111702;0;2310;0
111802;0;10;0
111902;0;0;0
112002;0;0;0
112102;0;0;0
112202;0;0;0
112302;0;0;0
112402;0;0;0
112502;0;0;0
112602;0;0;0
112702;0;0;0
112802;0;0;0
112902;0;0;0
113002;0;0;0
113102;0;0;0
113202;0;0;0
113302;0;0;0
113402;150;150;0
113502;0;100;0
113602;0;0;0
113702;0;10;0
113802;0;0;0
113902;0;0;0
114002;0;10;0
114102;0;0;0
114202;0;0;0
114302;0;0;0
114402;0;0;0
114502;0;0;0
114602;0;0;0
114702;0;0;0
114802;0;0;0
114902;0;10;0
115002;0;0;0
115102;0;10;0
115202;0;0;0
115302;0;450;0
115402;0;3000;0
115502;30;200;0
115602;10;50;0
115702;30;40;0
115802;0;0;0
115902;0;0;0
116002;0;150;0
116102;180;0;0
116202;10;3490;0
116302;0;2000;0
116402;60;500;0
116502;40;0;0
116602;0;800;0
116702;0;200;0
116802;0;0;0
116902;0;10;0
117002;0;10000;0
117102;0;20000;0
117202;0;700;0
117302;0;500;0
117402;20;30;0
117502;0;2500;0
117602;0;400;0
117702;0;150;0
117802;0;0;0
117902;0;0;0
118002;0;0;0
118102;30;0;0
118202;0;0;0
118302;0;0;0
118402;0;60;0
118502;0;70;0
118602;0;200;0
118702;0;350;0
118802;0;1200;0
118902;0;30;0
119002;10;100;0
119102;0;100;0
119202;10;0;0
119302;0;270;0
119402;10;120;0
119502;0;40;0
119602;0;600;0
119702;0;1290;0
119802;0;500;0
119902;0;0;0
120002;0;0;0
120102;0;0;0
120202;0;350;0
120302;50;510;0
120402;10;0;0
120502;0;930;0
120602;0;2630;0
120702;0;0;0
120802;0;680;0
120902;0;800;0
121002;0;500;0
121102;0;2000;0
121202;20;0;0
121302;0;120;0
121402;0;20;0
121502;0;0;0
121602;0;0;0
121702;0;140;0
121802;0;1090;0
121902;0;200;0
122002;0;20;0
122102;0;300;0
122202;0;1000;0
122302;0;1500;0
122402;0;1300;0
122502;10;80;0
122602;20;350;0
122702;0;400;0
122802;10;1300;0
122902;0;0;0
123002;0;2000;0
123102;0;680;0
123202;20;90;0
123302;10;70;0
123402;0;70;0
123502;0;400;0
123602;10;30;0
123702;0;350;0
123802;10;0;0
123902;40;30;0
124002;100;0;0
124102;30;90;0
124202;0;10;0
124302;0;4000;0
124402;0;2540;0
124502;0;0;0
124602;50;220;0
124702;0;6000;0
124802;0;0;0
124902;20;30;0
125002;10;0;0
125102;80;160;0
125202;90;200;0
125302;0;0;0
125402;110;0;0
125502;20;10;0
125602;0;130;0
125702;0;1000;0
125802;0;8000;0
125902;10;0;0
126002;30;100;0
126102;0;1730;0
126202;0;1500;0
126302;0;200;0
126402;30;470;0
126502;50;80;0
126602;0;390;0
126702;0;240;0
126802;40;400;0
126902;10;0;0
127002;0;80;0
127102;0;0;0
127202;0;60;0
127302;0;2070;0
127402;0;120;0
127502;0;40;0
127602;0;700;0
127702;0;350;0
127802;50;70;0
127902;30;0;0
128002;0;1500;0
128102;0;0;0
128202;0;0;0
128302;0;200;0
128402;120;230;0
128502;3050;0;0
128602;0;0;0
128702;0;0;0
128802;0;0;0
128902;0;0;0
129002;0;0;0
129102;30;70;0
129202;10;40;0
129302;0;0;0
129402;0;0;0
129502;50;80;0
129602;0;300;0
129702;30;0;0
129802;0;0;0
129902;60;0;0
130002;0;0;0
130102;0;0;0
130202;0;0;0
130302;0;0;0
130402;0;0;0
130502;0;0;0
130602;0;0;0
130702;0;200;0
130802;150;0;0
130902;0;5000;0
131002;0;740;0
131102;0;0;0
131202;0;1200;0
131302;150;3740;0
131402;400;1070;0
